date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:38	276/276	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202019%2006:07:38%20GMT	http://heroyooi.ivyro.net/robots.txt		(from )
15:07:39	30098/30098	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:39%20GMT	http://heroyooi.ivyro.net/admin/jQuery/	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/index.html	(from )
15:07:39	3321/3321	---M--	200	added ('OK')	text/css	etag:%2252272d-cf9-588bf214f3625%22	http://heroyooi.ivyro.net/admin/jQuery/common/css/reset.css	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/common/css/reset.css	(from )
15:07:40	4727/4727	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:40%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/gnb1.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/gnb1.html	(from )
15:07:40	3043/3043	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:40%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/gnb2.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/gnb2.html	(from )
15:07:40	3216/3216	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:41%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/gnb3.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/gnb3.html	(from )
15:07:41	3436/3436	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:41%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/gnb4.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/gnb4.html	(from )
15:07:42	20346/20346	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:41%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/swipe.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/swipe.html	(from )
15:07:42	12759/12759	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:41%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/swipe2.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/swipe2.html	(from )
15:07:43	21911/21911	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:42%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/swipe_cookie.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/swipe_cookie.html	(from )
15:07:45	4167/4167	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:44%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/gooey.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/gooey.html	(from )
15:07:45	32254/32254	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:43%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/swipe_renew.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/swipe_renew.html	(from )
15:07:45	2925/2925	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:45%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/wheel_menu.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/wheel_menu.html	(from )
15:07:45	31401/31401	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:43%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/swipe_renew2.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/swipe_renew2.html	(from )
15:07:48	61937/61937	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:45%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/menu_aim.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/menu_aim.html	(from )
15:07:48	9033/9033	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:46%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/mob_fixmenu.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/mob_fixmenu.html	(from )
15:07:48	19289/19289	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:46%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/appmenu.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/appmenu.html	(from )
15:07:48	6422/6422	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:49%20GMT	http://heroyooi.ivyro.net/admin/jQuery/gnb/mob_fixmenu2.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/gnb/mob_fixmenu2.html	(from )
15:07:49	4168/4168	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:49%20GMT	http://heroyooi.ivyro.net/admin/jQuery/slider/bxslider2.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/slider/bxslider2.html	(from )
15:07:49	8103/8103	---MC-	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2006:07:49%20GMT	http://heroyooi.ivyro.net/admin/jQuery/slider/bxslider1.html	C:/My%20Web%20Sites/jq/heroyooi.ivyro.net/admin/jQuery/slider/bxslider1.html	(from )
